iter	Passed	Remaining
574	2361	1745
575	2362	1739
576	2363	1732
577	2364	1726
578	2383	1732
579	2384	1726
580	2385	1720
581	2415	1734
582	2417	1728
583	2418	1722
584	2448	1736
585	2449	1730
586	2537	1785
587	2542	1781
588	2543	1775
589	2544	1768
590	2545	1761
591	2546	1755
592	2555	1754
593	2557	1747
594	2558	1741
595	2559	1734
596	2560	1728
597	2562	1722
598	2563	1716
599	2564	1709
600	2565	1703
601	2571	1699
602	2572	1693
603	2573	1687
604	2574	1680
605	2575	1674
606	2576	1668
607	2577	1661
608	2578	1655
609	2629	1680
610	2630	1674
611	2634	1670
612	2636	1664
613	2637	1658
614	2638	1651
615	2639	1645
616	2640	1639
617	2641	1632
618	2642	1626
619	2643	1620
620	2644	1614
621	2646	1608
622	2651	1604
623	2652	1598
624	2653	1592
625	2654	1585
626	2655	1579
627	2656	1573
628	2657	1567
629	2658	1561
630	2659	1555
631	2661	1549
632	2665	1545
633	2667	1539
634	2684	1542
635	2685	1537
636	2686	1531
637	2687	1524
638	2688	1518
639	2689	1512
640	2691	1507
641	2693	1502
642	2707	1503
643	2741	1515
644	2742	1509
645	2749	1506
646	2750	1500
647	2751	1494
648	2752	1488
649	2754	1483
650	2755	1477
651	2757	1471
652	2767	1470
653	2768	1464
654	2770	1459
655	2771	1453
656	2772	1447
657	2773	1441
658	2822	1460
659	2823	1454
660	2824	1448
661	2831	1445
662	2905	1476
663	2906	1470
664	2913	1467
665	3005	1507
666	3006	1501
667	3012	1497
668	3014	1491
669	3015	1485
670	3016	1479
671	3017	1472
672	3018	1466
673	3019	1460
674	3020	1454
675	3021	1448
676	3026	1444
677	3028	1438
678	3029	1432
679	3030	1426
680	3031	1420
681	3032	1414
682	3033	1408
683	3034	1402
684	3035	1396
685	3037	1390
686	3042	1386
687	3068	1391
688	3069	1385
689	3075	1381
690	3076	1375
691	3077	1369
692	3078	1363
693	3080	1358
694	3081	1352
695	3082	1346
696	3083	1340
697	3084	1334
698	3090	1330
699	3093	1325
700	3094	1319
701	3115	1322
702	3116	1316
703	3144	1322
704	3145	1316
705	3146	1310
706	3147	1304
707	3148	1298
708	3149	1292
709	3155	1288
710	3156	1282
711	3157	1277
712	3158	1271
713	3159	1265
714	3160	1259
715	3161	1254
716	3162	1248
717	3163	1242
718	3164	1236
719	3166	1231
720	3181	1231
721	3183	1225
722	3184	1219
723	3185	1214
724	3186	1208
725	3190	1204
726	3191	1198
727	3192	1192
728	3193	1187
729	3194	1181
730	3195	1176
731	3196	1170
732	3197	1164
733	3198	1159
734	3199	1153
735	3200	1148
736	3201	1142
737	3203	1137
738	3206	1132
739	3207	1127
740	3208	1121
741	3209	1116
742	3210	1110
743	3211	1105
744	3213	1099
745	3215	1094
746	3217	1089
747	3223	1086
748	3233	1083
749	3235	1078
750	3236	1073
751	3238	1067
752	3240	1062
753	3252	1061
754	3253	1055
755	3254	1050
756	3255	1045
757	3256	1039
758	3257	1034
759	3261	1030
760	3267	1026
761	3268	1020
762	3269	1015
763	3271	1010
764	3276	1006
765	3279	1001
766	3280	996
767	3281	991
768	3283	986
769	3284	980
770	3285	975
771	3292	972
772	3295	967
773	3306	965
774	3311	961
775	3312	956
776	3313	950
777	3314	945
778	3315	940
779	3316	935
780	3322	931
781	3323	926
782	3324	921
783	3326	916
784	3327	911
785	3328	906
786	3329	901
787	3330	896
788	3331	891
789	3337	887
790	3338	882
791	3339	877
792	3340	871
793	3341	866
794	3342	861
795	3343	856
796	3387	862
797	3389	857
798	3390	852
799	3391	847
800	3392	842
801	3393	837
802	3394	832
803	3395	827
804	3396	822
805	3397	817
806	3402	813
807	3404	808
808	3405	803
809	3406	799
810	3407	794
811	3408	789
812	3409	784
813	3410	779
814	3411	774
815	3419	770
816	3420	766
817	3421	761
818	3422	756
819	3423	751
820	3425	746
821	3426	741
822	3427	737
823	3428	732
824	3433	728
825	3434	723
826	3435	718
827	3437	714
828	3438	709
829	3439	704
830	3439	699
831	3440	694
832	3442	690
833	3444	685
834	3449	681
835	3451	677
836	3452	672
837	3453	667
838	3455	663
839	3456	658
840	3457	653
841	3457	648
842	3458	644
843	3459	639
844	3464	635
845	3465	630
846	3466	626
847	3467	621
848	3468	616
849	3468	612
850	3469	607
851	3470	602
852	3471	598
853	3472	593
854	3473	588
855	3473	584
856	3474	579
857	3478	575
858	3479	571
859	3480	566
860	3481	562
861	3482	557
862	3483	552
863	3483	548
864	3484	543
865	3485	539
866	3486	534
867	3487	530
868	3488	525
869	3488	521
870	3489	516
871	3493	512
872	3494	508
873	3495	503
874	3496	499
875	3497	495
876	3498	490
877	3498	486
878	3499	481
879	3500	477
880	3501	473
881	3502	468
882	3503	464
883	3504	459
884	3505	455
885	3509	451
886	3510	447
887	3511	442
888	3513	438
889	3514	434
890	3515	430
891	3516	425
892	3516	421
893	3517	417
894	3518	412
895	3519	408
896	3520	404
897	3525	400
898	3526	396
899	3527	391
900	3528	387
901	3529	383
902	3530	379
903	3531	375
904	3532	370
905	3533	366
906	3534	362
907	3534	358
908	3535	353
909	3540	350
910	3541	346
911	3542	341
912	3543	337
913	3544	333
914	3545	329
915	3546	325
916	3547	321
917	3548	316
918	3548	312
919	3549	308
920	3550	304
921	3554	300
922	3556	296
923	3557	292
924	3558	288
925	3559	284
926	3559	280
927	3560	276
928	3561	272
929	3562	268
930	3563	264
931	3563	260
932	3564	255
933	3565	251
934	3570	248
935	3572	244
936	3573	240
937	3573	236
938	3574	232
939	3575	228
940	3576	224
941	3577	220
942	3578	216
943	3579	212
944	3580	208
945	3580	204
946	3585	200
947	3586	196
948	3587	192
949	3587	188
950	3588	184
951	3589	180
952	3590	177
953	3591	173
954	3592	169
955	3593	165
956	3593	161
957	3594	157
958	3595	153
959	3596	149
960	3601	146
961	3602	142
962	3603	138
963	3603	134
964	3604	130
965	3605	126
966	3606	123
967	3607	119
968	3607	115
969	3608	111
970	3609	107
971	3610	103
972	3611	100
973	3611	96
974	3616	92
975	3617	88
976	3618	85
977	3619	81
978	3619	77
979	3620	73
980	3621	70
981	3622	66
982	3623	62
983	3624	58
984	3625	55
985	3625	51
986	3626	47
987	3630	44
988	3631	40
989	3632	36
990	3633	32
991	3634	29
992	3634	25
993	3635	21
994	3636	18
995	3637	14
996	3638	10
997	3639	7
998	3640	3
999	3640	0
